Program Start at Thu Sep 15 15:10:53 2022

Starting N=59 with k=6
Starting... 0, 1, 2, 3, 4, 5, 
Starting... 0, 1, 2, 3, 4, 6, 
Starting... 0, 1, 2, 3, 4, 7, 
Starting... 0, 1, 2, 3, 4, 8, 
Starting... 0, 1, 2, 3, 4, 9, 
Starting... 0, 1, 2, 3, 4, 12, 
Starting... 0, 1, 2, 3, 4, 13, 
Starting... 0, 1, 2, 3, 4, 14, 
Starting... 0, 1, 2, 3, 4, 17, 
Starting... 0, 1, 2, 3, 4, 18, 
Starting... 0, 1, 2, 3, 4, 52, 
Starting... 0, 1, 2, 3, 4, 25, 
Starting... 0, 1, 2, 3, 4, 29, 
Starting... 0, 1, 2, 3, 4, 30, 
Starting... 0, 1, 2, 3, 4, 33, 
Starting... 0, 1, 2, 3, 4, 34, 
Starting... 0, 1, 2, 3, 4, 42, 
Starting... 0, 1, 2, 3, 4, 45, 
Starting... 0, 1, 2, 3, 4, 15, 
Starting... 0, 1, 2, 3, 4, 19, 
Starting... 0, 1, 2, 3, 4, 27, 
Starting... 0, 1, 2, 3, 4, 31, 
Starting... 0, 1, 2, 3, 4, 36, 
Starting... 0, 1, 2, 3, 4, 40, 
Starting... 0, 1, 2, 3, 4, 44, 
Starting... 0, 1, 2, 3, 4, 47, 
Starting... 0, 1, 2, 3, 4, 48, 
Starting... 0, 1, 2, 3, 4, 22, 
Starting... 0, 1, 2, 3, 5, 6, 
Starting... 0, 1, 2, 3, 5, 7, 
Starting... 0, 1, 2, 3, 5, 10, 
Starting... 0, 1, 2, 3, 4, 57, 
Starting... 0, 1, 2, 3, 5, 11, 
Starting... 0, 1, 2, 3, 4, 58, 
Starting... 0, 1, 2, 3, 5, 8, 
Starting... 0, 1, 2, 3, 5, 14, 
Starting... 0, 1, 2, 3, 5, 15, 
Starting... 0, 1, 2, 3, 5, 9, 
Starting... 0, 1, 2, 3, 5, 18, 
Starting... 0, 1, 2, 3, 5, 12, 
Starting... 0, 1, 2, 3, 5, 13, 
Starting... 0, 1, 2, 3, 5, 19, 
Starting... 0, 1, 2, 3, 5, 22, 
Starting... 0, 1, 2, 3, 5, 16, 
Starting... 0, 1, 2, 3, 5, 23, 
Starting... 0, 1, 2, 3, 5, 17, 
Starting... 0, 1, 2, 3, 5, 20, 
Starting... 0, 1, 2, 3, 5, 21, 
Starting... 0, 1, 2, 3, 5, 26, 
Starting... 0, 1, 2, 3, 5, 24, 
Starting... 0, 1, 2, 3, 5, 27, 
Starting... 0, 1, 2, 3, 5, 25, 
Starting... 0, 1, 2, 3, 5, 30, 
Starting... 0, 1, 2, 3, 5, 28, 
Starting... 0, 1, 2, 3, 5, 31, 
Starting... 0, 1, 2, 3, 5, 29, 
Starting... 0, 1, 2, 3, 5, 32, 
Starting... 0, 1, 2, 3, 5, 34, 
Starting... 0, 1, 2, 3, 5, 33, 
Starting... 0, 1, 2, 3, 5, 35, 
Starting... 0, 1, 2, 3, 5, 36, 
Starting... 0, 1, 2, 3, 5, 38, 
Starting... 0, 1, 2, 3, 5, 37, 
Starting... 0, 1, 2, 3, 5, 39, 
Starting... 0, 1, 2, 3, 5, 40, 
Starting... 0, 1, 2, 3, 5, 41, 
Starting... 0, 1, 2, 3, 5, 42, 
Starting... 0, 1, 2, 3, 5, 43, 
Starting... 0, 1, 2, 3, 5, 44, 
Starting... 0, 1, 2, 3, 5, 45, 
Starting... 0, 1, 2, 3, 5, 46, 
Starting... 0, 1, 2, 3, 5, 47, 
Starting... 0, 1, 2, 3, 5, 48, 
Starting... 0, 1, 2, 3, 5, 49, 
Starting... 0, 1, 2, 3, 5, 50, 
Starting... 0, 1, 2, 3, 5, 51, 
Starting... 0, 1, 2, 3, 5, 52, 
Starting... 0, 1, 2, 3, 5, 53, 
Starting... 0, 1, 2, 3, 5, 54, 
Starting... 0, 1, 2, 3, 5, 55, 
Starting... 0, 1, 2, 3, 5, 56, 
Starting... 0, 1, 2, 3, 5, 57, 
Starting... 0, 1, 2, 3, 5, 58, 
Starting... 0, 1, 2, 3, 6, 11, 
Starting... 0, 1, 2, 3, 6, 11, 
Starting... 0, 1, 2, 3, 6, 12, 
Starting... 0, 1, 2, 3, 6, 13, 
Starting... 0, 1, 2, 3, 6, 14, 
Starting... 0, 1, 2, 3, 6, 15, 
Starting... 0, 1, 2, 3, 6, 18, 
Starting... 0, 1, 2, 3, 6, 19, 
Starting... 0, 1, 2, 3, 6, 20, 
Starting... 0, 1, 2, 3, 6, 21, 
Starting... 0, 1, 2, 3, 6, 23, 
Starting... 0, 1, 2, 3, 6, 24, 
Starting... 0, 1, 2, 3, 6, 25, 
Starting... 0, 1, 2, 3, 6, 28, 
Starting... 0, 1, 2, 3, 6, 31, 
Starting... 0, 1, 2, 3, 6, 33, 
Starting... 0, 1, 2, 3, 6, 35, 
Starting... 0, 1, 2, 3, 6, 36, 
Starting... 0, 1, 2, 3, 6, 37, 
Starting... 0, 1, 2, 3, 6, 39, 
Starting... 0, 1, 2, 3, 6, 40, 
Starting... 0, 1, 2, 3, 6, 42, 
Starting... 0, 1, 2, 3, 6, 46, 
Starting... 0, 1, 2, 3, 6, 48, 
Starting... 0, 1, 2, 3, 6, 50, 
Starting... 0, 1, 2, 3, 6, 51, 
Starting... 0, 1, 2, 3, 6, 53, 
Starting... 0, 1, 2, 3, 6, 54, 
Starting... 0, 1, 2, 3, 6, 58, 
Starting... 0, 1, 2, 3, 7, 11, 
Starting... 0, 1, 2, 3, 7, 12, 
Starting... 0, 1, 2, 3, 7, 13, 
Starting... 0, 1, 2, 3, 7, 14, 
Starting... 0, 1, 2, 3, 7, 15, 
Starting... 0, 1, 2, 3, 7, 18, 
Starting... 0, 1, 2, 3, 7, 19, 
Starting... 0, 1, 2, 3, 7, 20, 
Starting... 0, 1, 2, 3, 7, 21, 
Starting... 0, 1, 2, 3, 7, 23, 
Starting... 0, 1, 2, 3, 7, 24, 
Starting... 0, 1, 2, 3, 7, 24, 
Starting... 0, 1, 2, 3, 7, 25, 
Starting... 0, 1, 2, 3, 7, 28, 
Starting... 0, 1, 2, 3, 7, 31, 
Starting... 0, 1, 2, 3, 7, 33, 
Starting... 0, 1, 2, 3, 7, 35, 
Starting... 0, 1, 2, 3, 7, 36, 
Starting... 0, 1, 2, 3, 7, 37, 
Starting... 0, 1, 2, 3, 7, 39, 
Starting... 0, 1, 2, 3, 7, 40, 
Starting... 0, 1, 2, 3, 7, 42, 
Starting... 0, 1, 2, 3, 7, 46, 
Starting... 0, 1, 2, 3, 7, 48, 
Starting... 0, 1, 2, 3, 7, 50, 
Starting... 0, 1, 2, 3, 7, 51, 
Starting... 0, 1, 2, 3, 7, 53, 
Starting... 0, 1, 2, 3, 7, 54, 
Starting... 0, 1, 2, 3, 7, 58, 
Starting... 0, 1, 2, 3, 8, 11, 
Starting... 0, 1, 2, 3, 8, 12, 
Starting... 0, 1, 2, 3, 8, 14, 
Starting... 0, 1, 2, 3, 8, 13, 
Starting... 0, 1, 2, 3, 8, 15, 
Starting... 0, 1, 2, 3, 8, 18, 
Starting... 0, 1, 2, 3, 8, 19, 
Starting... 0, 1, 2, 3, 8, 20, 
Starting... 0, 1, 2, 3, 8, 21, 
Starting... 0, 1, 2, 3, 8, 23, 
Starting... 0, 1, 2, 3, 8, 24, 
Starting... 0, 1, 2, 3, 8, 25, 
Starting... 0, 1, 2, 3, 8, 28, 
Starting... 0, 1, 2, 3, 8, 31, 
Starting... 0, 1, 2, 3, 8, 33, 
Starting... 0, 1, 2, 3, 8, 35, 
Starting... 0, 1, 2, 3, 8, 36, 
Starting... 0, 1, 2, 3, 8, 37, 
Starting... 0, 1, 2, 3, 8, 39, 
Starting... 0, 1, 2, 3, 8, 40, 
Starting... 0, 1, 2, 3, 8, 42, 
Starting... 0, 1, 2, 3, 8, 46, 
Starting... 0, 1, 2, 3, 8, 48, 
Starting... 0, 1, 2, 3, 8, 50, 
Starting... 0, 1, 2, 3, 8, 51, 
Starting... 0, 1, 2, 3, 8, 53, 
Starting... 0, 1, 2, 3, 8, 54, 
Starting... 0, 1, 2, 3, 8, 58, 
Starting... 0, 1, 2, 3, 9, 11, 
Starting... 0, 1, 2, 3, 9, 12, 
Starting... 0, 1, 2, 3, 9, 13, 
Starting... 0, 1, 2, 3, 9, 14, 
Starting... 0, 1, 2, 3, 9, 18, 
Starting... 0, 1, 2, 3, 9, 21, 
Starting... 0, 1, 2, 3, 9, 24, 
Starting... 0, 1, 2, 3, 9, 28, 
Starting... 0, 1, 2, 3, 9, 33, 
Starting... 0, 1, 2, 3, 9, 35, 
Starting... 0, 1, 2, 3, 9, 39, 
Starting... 0, 1, 2, 3, 9, 46, 
Starting... 0, 1, 2, 3, 9, 51, 
Starting... 0, 1, 2, 3, 10, 12, 
Starting... 0, 1, 2, 3, 10, 13, 
Starting... 0, 1, 2, 3, 10, 14, 
Starting... 0, 1, 2, 3, 10, 18, 
Starting... 0, 1, 2, 3, 10, 33, 
Starting... 0, 1, 2, 3, 11, 12, 
Starting... 0, 1, 2, 3, 11, 13, 
Starting... 0, 1, 2, 3, 11, 14, 
Starting... 0, 1, 2, 3, 11, 15, 
Starting... 0, 1, 2, 3, 11, 17, 
Starting... 0, 1, 2, 3, 11, 18, 
Starting... 0, 1, 2, 3, 11, 19, 
Starting... 0, 1, 2, 3, 11, 22, 
Starting... 0, 1, 2, 3, 11, 25, 
Starting... 0, 1, 2, 3, 11, 27, 
Starting... 0, 1, 2, 3, 11, 29, 
Starting... 0, 1, 2, 3, 11, 30, 
Starting... 0, 1, 2, 3, 11, 31, 
Starting... 0, 1, 2, 3, 11, 33, 
Starting... 0, 1, 2, 3, 11, 34, 
Starting... 0, 1, 2, 3, 11, 36, 
Starting... 0, 1, 2, 3, 11, 40, 
Starting... 0, 1, 2, 3, 11, 42, 
Starting... 0, 1, 2, 3, 11, 44, 
Starting... 0, 1, 2, 3, 11, 45, 
Starting... 0, 1, 2, 3, 11, 47, 
Starting... 0, 1, 2, 3, 11, 48, 
Starting... 0, 1, 2, 3, 11, 52, 
Starting... 0, 1, 2, 3, 11, 57, 
Starting... 0, 1, 2, 3, 11, 58, 
Starting... 0, 1, 2, 3, 12, 13, 
Starting... 0, 1, 2, 3, 12, 14, 
Starting... 0, 1, 2, 3, 12, 15, 
Starting... 0, 1, 2, 3, 12, 16, 
Starting... 0, 1, 2, 3, 12, 17, 
Starting... 0, 1, 2, 3, 12, 18, 
Starting... 0, 1, 2, 3, 12, 19, 
Starting... 0, 1, 2, 3, 12, 20, 
Starting... 0, 1, 2, 3, 12, 21, 
Starting... 0, 1, 2, 3, 12, 22, 
Starting... 0, 1, 2, 3, 12, 23, 
Starting... 0, 1, 2, 3, 12, 24, 
Starting... 0, 1, 2, 3, 12, 25, 
Starting... 0, 1, 2, 3, 12, 26, 
Starting... 0, 1, 2, 3, 12, 27, 
Starting... 0, 1, 2, 3, 12, 28, 
Starting... 0, 1, 2, 3, 12, 29, 
Starting... 0, 1, 2, 3, 12, 30, 
Starting... 0, 1, 2, 3, 12, 31, 
Starting... 0, 1, 2, 3, 12, 32, 
Starting... 0, 1, 2, 3, 12, 33, 
Starting... 0, 1, 2, 3, 12, 34, 
Starting... 0, 1, 2, 3, 12, 35, 
Starting... 0, 1, 2, 3, 12, 36, 
Starting... 0, 1, 2, 3, 12, 37, 
