2, 2, 0_1_, 0 -> 1 -> 0
3, 2, 0_2_, 0 -> 2 -> 1 -> 0
5, 3, 0_1_2_, 0 -> 1 -> 2 -> 4 -> 3 -> 0
7, 3, 0_1_5_, 0 -> 1 -> 6 -> 2 -> 5 -> 4 -> 3 -> 0
11, 3, 0_1_7_, 0 -> 7 -> 1 -> 2 -> 4 -> 6 -> 3 -> 5 -> 10 -> 8 -> 9 -> 0
13, 4, 0_1_2_4_, 0 -> 1 -> 2 -> 6 -> 10 -> 9 -> 4 -> 7 -> 11 -> 8 -> 12 -> 5 -> 3 -> 0
17, 4, 0_1_2_8_, 0 -> 1 -> 2 -> 5 -> 8 -> 13 -> 7 -> 6 -> 3 -> 10 -> 15 -> 12 -> 16 -> 9 -> 14 -> 11 -> 4 -> 0
19, 4, 0_1_2_8_, 0 -> 1 -> 2 -> 4 -> 5 -> 14 -> 6 -> 17 -> 12 -> 11 -> 8 -> 15 -> 16 -> 9 -> 13 -> 18 -> 3 -> 10 -> 7 -> 0
23, 4, 0_1_2_19_, 0 -> 1 -> 2 -> 4 -> 16 -> 5 -> 3 -> 9 -> 12 -> 7 -> 22 -> 20 -> 11 -> 6 -> 14 -> 13 -> 10 -> 8 -> 19 -> 17 -> 15 -> 18 -> 21 -> 0
29, 4, 0_1_3_24_, 0 -> 3 -> 4 -> 11 -> 5 -> 20 -> 18 -> 6 -> 8 -> 1 -> 2 -> 7 -> 15 -> 17 -> 23 -> 10 -> 13 -> 27 -> 28 -> 25 -> 16 -> 19 -> 14 -> 22 -> 21 -> 9 -> 24 -> 26 -> 12 -> 0
