41, 5, 0_1_2_14_37_, 0 -> 1 -> 2 -> 4 -> 12 -> 17 -> 3 -> 5 -> 21 -> 27 -> 28 -> 6 -> 9 -> 13 -> 7 -> 8 -> 19 -> 29 -> 22 -> 33 -> 25 -> 11 -> 35 -> 32 -> 36 -> 26 -> 20 -> 31 -> 14 -> 34 -> 10 -> 18 -> 38 -> 23 -> 37 -> 30 -> 40 -> 15 -> 16 -> 24 -> 39 -> 0
43, 4, 0_2_17_25_, 0 -> 2 -> 4 -> 16 -> 15 -> 10 -> 14 -> 6 -> 18 -> 5 -> 7 -> 8 -> 3 -> 9 -> 12 -> 17 -> 31 -> 32 -> 35 -> 21 -> 13 -> 42 -> 1 -> 26 -> 33 -> 39 -> 41 -> 29 -> 24 -> 19 -> 34 -> 20 -> 38 -> 25 -> 40 -> 11 -> 37 -> 36 -> 23 -> 30 -> 22 -> 28 -> 27 -> 0
47, 4, 0_1_28_33_, 0 -> 1 -> 2 -> 4 -> 16 -> 7 -> 3 -> 9 -> 15 -> 18 -> 23 -> 12 -> 31 -> 21 -> 19 -> 32 -> 38 -> 20 -> 24 -> 13 -> 14 -> 8 -> 17 -> 40 -> 30 -> 35 -> 36 -> 27 -> 25 -> 42 -> 11 -> 28 -> 33 -> 41 -> 37 -> 39 -> 45 -> 5 -> 26 -> 46 -> 34 -> 29 -> 43 -> 44 -> 10 -> 6 -> 22 -> 0
53, 5, 0_1_2_10_39_, 0 -> 1 -> 2 -> 4 -> 16 -> 30 -> 9 -> 14 -> 23 -> 38 -> 13 -> 10 -> 33 -> 15 -> 52 -> 3 -> 11 -> 17 -> 24 -> 32 -> 18 -> 6 -> 22 -> 7 -> 49 -> 26 -> 41 -> 39 -> 37 -> 44 -> 28 -> 42 -> 25 -> 43 -> 47 -> 36 -> 34 -> 29 -> 46 -> 51 -> 5 -> 27 -> 50 -> 48 -> 35 -> 45 -> 12 -> 40 -> 20 -> 31 -> 8 -> 21 -> 19 -> 0
59, 6, 0_1_2_3_24_30_, 0 -> 1 -> 2 -> 4 -> 16 -> 20 -> 11 -> 3 -> 9 -> 22 -> 12 -> 26 -> 27 -> 21 -> 28 -> 17 -> 18 -> 29 -> 15 -> 13 -> 51 -> 5 -> 25 -> 6 -> 7 -> 14 -> 19 -> 8 -> 35 -> 10 -> 41 -> 32 -> 23 -> 58 -> 31 -> 47 -> 56 -> 39 -> 46 -> 53 -> 38 -> 52 -> 50 -> 24 -> 48 -> 33 -> 30 -> 45 -> 43 -> 44 -> 49 -> 42 -> 54 -> 55 -> 40 -> 37 -> 36 -> 57 -> 34 -> 0
61, 5, 0_1_2_35_45_, 0 -> 1 -> 2 -> 4 -> 16 -> 12 -> 6 -> 10 -> 13 -> 21 -> 14 -> 15 -> 26 -> 5 -> 9 -> 20 -> 8 -> 3 -> 11 -> 34 -> 32 -> 22 -> 31 -> 30 -> 46 -> 42 -> 40 -> 49 -> 24 -> 27 -> 59 -> 39 -> 41 -> 35 -> 7 -> 33 -> 52 -> 55 -> 37 -> 28 -> 53 -> 38 -> 25 -> 17 -> 29 -> 48 -> 47 -> 58 -> 44 -> 45 -> 57 -> 18 -> 54 -> 51 -> 23 -> 43 -> 19 -> 56 -> 60 -> 36 -> 50 -> 0
67, 6, 0_1_2_4_9_31_, 0 -> 1 -> 2 -> 4 -> 16 -> 19 -> 26 -> 6 -> 36 -> 23 -> 24 -> 40 -> 59 -> 28 -> 11 -> 18 -> 20 -> 7 -> 13 -> 35 -> 21 -> 3 -> 9 -> 14 -> 62 -> 25 -> 22 -> 15 -> 33 -> 17 -> 30 -> 29 -> 37 -> 31 -> 27 -> 60 -> 49 -> 58 -> 45 -> 46 -> 43 -> 44 -> 61 -> 38 -> 39 -> 51 -> 56 -> 54 -> 66 -> 32 -> 50 -> 52 -> 55 -> 12 -> 41 -> 8 -> 65 -> 5 -> 34 -> 48 -> 57 -> 64 -> 10 -> 42 -> 53 -> 63 -> 47 -> 0
71, 6, 0_1_2_5_35_50_, 0 -> 1 -> 2 -> 4 -> 16 -> 7 -> 13 -> 6 -> 15 -> 12 -> 3 -> 9 -> 10 -> 8 -> 28 -> 5 -> 25 -> 21 -> 17 -> 40 -> 38 -> 24 -> 43 -> 53 -> 19 -> 11 -> 14 -> 18 -> 41 -> 27 -> 20 -> 45 -> 37 -> 22 -> 59 -> 52 -> 56 -> 47 -> 58 -> 29 -> 61 -> 31 -> 39 -> 32 -> 35 -> 23 -> 34 -> 70 -> 36 -> 68 -> 44 -> 69 -> 54 -> 55 -> 48 -> 67 -> 66 -> 30 -> 49 -> 63 -> 64 -> 51 -> 46 -> 57 -> 33 -> 26 -> 42 -> 62 -> 60 -> 50 -> 65 -> 0
73, 6, 0_1_2_3_46_54_, 0 -> 1 -> 2 -> 4 -> 16 -> 10 -> 8 -> 37 -> 28 -> 27 -> 45 -> 35 -> 30 -> 5 -> 6 -> 9 -> 11 -> 21 -> 3 -> 12 -> 44 -> 19 -> 42 -> 13 -> 23 -> 18 -> 32 -> 48 -> 14 -> 31 -> 15 -> 7 -> 22 -> 46 -> 53 -> 36 -> 55 -> 33 -> 40 -> 67 -> 17 -> 51 -> 49 -> 66 -> 50 -> 72 -> 47 -> 20 -> 38 -> 59 -> 52 -> 57 -> 39 -> 34 -> 61 -> 71 -> 58 -> 60 -> 24 -> 68 -> 25 -> 43 -> 26 -> 65 -> 64 -> 54 -> 69 -> 62 -> 29 -> 41 -> 56 -> 70 -> 63 -> 0
79, 6, 0_1_2_3_26_38_, 0 -> 1 -> 2 -> 4 -> 16 -> 19 -> 45 -> 9 -> 3 -> 10 -> 21 -> 5 -> 25 -> 31 -> 13 -> 11 -> 42 -> 26 -> 44 -> 40 -> 20 -> 6 -> 36 -> 32 -> 23 -> 14 -> 38 -> 22 -> 12 -> 24 -> 49 -> 33 -> 62 -> 52 -> 18 -> 8 -> 64 -> 67 -> 65 -> 39 -> 58 -> 46 -> 63 -> 57 -> 48 -> 15 -> 68 -> 43 -> 35 -> 41 -> 60 -> 71 -> 66 -> 37 -> 29 -> 54 -> 72 -> 50 -> 77 -> 30 -> 69 -> 59 -> 7 -> 75 -> 17 -> 78 -> 27 -> 56 -> 55 -> 61 -> 34 -> 53 -> 70 -> 28 -> 73 -> 74 -> 51 -> 76 -> 47 -> 0
