2, 2, 0_1_, 0 -> 1 -> 0
3, 2, 0_2_, 0 -> 2 -> 1 -> 0
5, 3, 0_1_2_, 0 -> 1 -> 2 -> 4 -> 3 -> 0
7, 3, 0_1_6_, 0 -> 6 -> 2 -> 5 -> 4 -> 3 -> 1 -> 0
11, 3, 0_1_7_, 0 -> 7 -> 1 -> 2 -> 4 -> 6 -> 3 -> 5 -> 10 -> 8 -> 9 -> 0
13, 4, 0_1_2_4_, 0 -> 1 -> 2 -> 6 -> 10 -> 9 -> 4 -> 7 -> 11 -> 8 -> 12 -> 5 -> 3 -> 0
17, 4, 0_1_3_5_, 0 -> 1 -> 2 -> 4 -> 16 -> 6 -> 5 -> 8 -> 14 -> 10 -> 3 -> 12 -> 11 -> 7 -> 15 -> 9 -> 13 -> 0
19, 4, 0_1_2_9_, 0 -> 1 -> 2 -> 4 -> 6 -> 7 -> 12 -> 11 -> 9 -> 5 -> 8 -> 16 -> 18 -> 3 -> 10 -> 14 -> 15 -> 17 -> 13 -> 0
23, 4, 0_1_3_19_, 0 -> 1 -> 2 -> 4 -> 12 -> 6 -> 14 -> 13 -> 8 -> 19 -> 17 -> 16 -> 3 -> 10 -> 11 -> 7 -> 22 -> 20 -> 9 -> 15 -> 18 -> 5 -> 21 -> 0
29, 4, 0_2_5_23_, 0 -> 2 -> 4 -> 10 -> 13 -> 18 -> 5 -> 1 -> 3 -> 11 -> 7 -> 20 -> 17 -> 28 -> 24 -> 19 -> 15 -> 16 -> 26 -> 14 -> 27 -> 6 -> 9 -> 23 -> 12 -> 22 -> 25 -> 21 -> 8 -> 0
31, 4, 0_1_3_20_, 0 -> 1 -> 2 -> 4 -> 5 -> 26 -> 25 -> 6 -> 8 -> 3 -> 12 -> 9 -> 19 -> 23 -> 22 -> 20 -> 17 -> 13 -> 14 -> 30 -> 21 -> 10 -> 27 -> 16 -> 28 -> 29 -> 24 -> 7 -> 18 -> 15 -> 11 -> 0
29, 4, 0_2_16_20_, 0 -> 2 -> 4 -> 3 -> 9 -> 10 -> 13 -> 15 -> 22 -> 7 -> 11 -> 5 -> 16 -> 26 -> 25 -> 18 -> 21 -> 8 -> 6 -> 23 -> 27 -> 20 -> 14 -> 24 -> 12 -> 28 -> 1 -> 17 -> 19 -> 0
29, 4, 0_2_16_20_, 0 -> 2 -> 4 -> 3 -> 9 -> 10 -> 13 -> 15 -> 22 -> 7 -> 11 -> 5 -> 16 -> 26 -> 25 -> 18 -> 21 -> 8 -> 6 -> 23 -> 27 -> 20 -> 14 -> 24 -> 12 -> 28 -> 1 -> 17 -> 19 -> 0
